dates,MEI
1881-01-31,.148
1881-02-28,.215
1881-03-31,.174
1881-04-30,.082
1881-05-31,-.105
1881-06-30,-.062
1881-07-31,-.153
1881-08-31,-.559
1881-09-30,-.656
1881-10-31,-.389
1881-11-30,-.499
1881-12-31,-.776
1882-01-31,-.598
1882-02-28,-.461
1882-03-31,-.585
1882-04-30,-.799
1882-05-31,-1.028
1882-06-30,-.97
1882-07-31,-.686
1882-08-31,-.436
1882-09-30,-.267
1882-10-31,-.261
1882-11-30,-.379
1882-12-31,-.404
1883-01-31,-.562
1883-02-28,-.628
1883-03-31,-.562
1883-04-30,-.672
1883-05-31,-1.07
1883-06-30,-.898
1883-07-31,-.284
1883-08-31,-.228
1883-09-30,-.314
1883-10-31,-.01
1883-11-30,.004
1883-12-31,-.012
1884-01-31,.094
1884-02-29,.121
1884-03-31,.112
1884-04-30,.369
1884-05-31,.786
1884-06-30,.725
1884-07-31,.368
1884-08-31,.433
1884-09-30,.628
1884-10-31,.525
1884-11-30,.333
1884-12-31,.432
1885-01-31,.639
1885-02-28,.599
1885-03-31,.262
1885-04-30,.247
1885-05-31,.588
1885-06-30,.414
1885-07-31,-.044
1885-08-31,.211
1885-09-30,.506
1885-10-31,.804
1885-11-30,1.216
1885-12-31,.914
1886-01-31,.384
1886-02-28,.112
1886-03-31,.016
1886-04-30,-.103
1886-05-31,-.619
1886-06-30,-1.274
1886-07-31,-1.466
1886-08-31,-1.351
1886-09-30,-1.228
1886-10-31,-1.233
1886-11-30,-1.306
1886-12-31,-1.272
1887-01-31,-1.451
1887-02-28,-1.573
1887-03-31,-1.313
1887-04-30,-1.088
1887-05-31,-1.257
1887-06-30,-.926
1887-07-31,-.066
1887-08-31,.194
1887-09-30,.113
1887-10-31,-.154
1887-11-30,-.314
1887-12-31,-.155
1888-01-31,.036
1888-02-29,.389
1888-03-31,.792
1888-04-30,.948
1888-05-31,.874
1888-06-30,.921
1888-07-31,1.038
1888-08-31,1.34
1888-09-30,1.732
1888-10-31,1.788
1888-11-30,1.723
1888-12-31,1.851
1889-01-31,1.893
1889-02-28,1.865
1889-03-31,1.618
1889-04-30,1.163
1889-05-31,.481
1889-06-30,-.068
1889-07-31,-.555
1889-08-31,-1.192
1889-09-30,-1.494
1889-10-31,-1.534
1889-11-30,-1.532
1889-12-31,-1.451
1890-01-31,-1.53
1890-02-28,-1.731
1890-03-31,-1.584
1890-04-30,-1.456
1890-05-31,-1.55
1890-06-30,-1.564
1890-07-31,-1.406
1890-08-31,-1.264
1890-09-30,-1.186
1890-10-31,-1.006
1890-11-30,-.876
1890-12-31,-.638
1891-01-31,-.557
1891-02-28,-.287
1891-03-31,.17
1891-04-30,.285
1891-05-31,.061
1891-06-30,.128
1891-07-31,.36
1891-08-31,.382
1891-09-30,.192
1891-10-31,.021
1891-11-30,-.097
1891-12-31,-.188
1892-01-31,-.128
1892-02-29,-.184
1892-03-31,-.708
1892-04-30,-1.486
1892-05-31,-1.572
1892-06-30,-1.152
1892-07-31,-1.027
1892-08-31,-1.29
1892-09-30,-1.619
1892-10-31,-1.748
1892-11-30,-1.682
1892-12-31,-1.545
1893-01-31,-1.553
1893-02-28,-1.625
1893-03-31,-1.565
1893-04-30,-1.524
1893-05-31,-1.941
1893-06-30,-2.356
1893-07-31,-2.56
1893-08-31,-2.524
1893-09-30,-2.427
1893-10-31,-2.167
1893-11-30,-1.832
1893-12-31,-1.368
1894-01-31,-1.206
1894-02-28,-1.323
1894-03-31,-1.448
1894-04-30,-1.645
1894-05-31,-1.32
1894-06-30,-.771
1894-07-31,-.92
1894-08-31,-1.018
1894-09-30,-.856
1894-10-31,-.914
1894-11-30,-.799
1894-12-31,-.665
1895-01-31,-.706
1895-02-28,-.775
1895-03-31,-.772
1895-04-30,-.803
1895-05-31,-.83
1895-06-30,-.624
1895-07-31,-.182
1895-08-31,.281
1895-09-30,.453
1895-10-31,.264
1895-11-30,.082
1895-12-31,.044
1896-01-31,-.16
1896-02-29,-.208
1896-03-31,-.065
1896-04-30,-.161
1896-05-31,.066
1896-06-30,.657
1896-07-31,.91
1896-08-31,1.223
1896-09-30,1.484
1896-10-31,1.294
1896-11-30,1.2
1896-12-31,1.418
1897-01-31,1.543
1897-02-28,1.351
1897-03-31,1.15
1897-04-30,1.085
1897-05-31,.876
1897-06-30,.369
1897-07-31,-.031
1897-08-31,-.147
1897-09-30,-.296
1897-10-31,-.449
1897-11-30,-.348
1897-12-31,-.384
1898-01-31,-.461
1898-02-28,-.691
1898-03-31,-.999
1898-04-30,-.896
1898-05-31,-.55
1898-06-30,-.425
1898-07-31,-.307
1898-08-31,-.597
1898-09-30,-1.093
1898-10-31,-.85
1898-11-30,-.312
1898-12-31,-.334
1899-01-31,-.608
1899-02-28,-.694
1899-03-31,-.539
1899-04-30,-.245
1899-05-31,.03
1899-06-30,.182
1899-07-31,.482
1899-08-31,.883
1899-09-30,1.114
1899-10-31,.966
1899-11-30,.906
1899-12-31,1.079
1900-01-31,1.056
1900-02-28,1.05
1900-03-31,1.187
1900-04-30,1.46
1900-05-31,1.713
1900-06-30,1.653
1900-07-31,1.361
1900-08-31,.688
1900-09-30,.314
1900-10-31,.354
1900-11-30,.467
1900-12-31,.438
1901-01-31,.612
1901-02-28,.533
1901-03-31,.156
1901-04-30,-.09
1901-05-31,-.013
1901-06-30,-.062
1901-07-31,-.112
1901-08-31,.074
1901-09-30,-.121
1901-10-31,-.383
1901-11-30,-.576
1901-12-31,-.425
1902-01-31,-.328
1902-02-28,-.256
1902-03-31,.098
1902-04-30,.487
1902-05-31,.955
1902-06-30,1.519
1902-07-31,1.917
1902-08-31,1.591
1902-09-30,1.395
1902-10-31,1.706
1902-11-30,2.039
1902-12-31,1.713
1903-01-31,.925
1903-02-28,.853
1903-03-31,.978
1903-04-30,.606
1903-05-31,-.058
1903-06-30,-.397
1903-07-31,-.46
1903-08-31,-.657
1903-09-30,-.495
1903-10-31,-.504
1903-11-30,-.784
1903-12-31,-.925
1904-01-31,-1.194
1904-02-29,-1.251
1904-03-31,-1.09
1904-04-30,-.924
1904-05-31,-.563
1904-06-30,-.208
1904-07-31,.3
1904-08-31,.657
1904-09-30,.707
1904-10-31,.812
1904-11-30,.743
1904-12-31,.736
1905-01-31,.789
1905-02-28,.893
1905-03-31,1.124
1905-04-30,1.261
1905-05-31,1.129
1905-06-30,1.457
1905-07-31,1.954
1905-08-31,1.869
1905-09-30,1.641
1905-10-31,1.482
1905-11-30,1.221
1905-12-31,1.232
1906-01-31,1.053
1906-02-28,.664
1906-03-31,.512
1906-04-30,.477
1906-05-31,.37
1906-06-30,.169
1906-07-31,-.28
1906-08-31,-.492
1906-09-30,-.792
1906-10-31,-1.184
1906-11-30,-.874
1906-12-31,-.674
1907-01-31,-.828
1907-02-28,-.727
1907-03-31,-.669
1907-04-30,-.89
1907-05-31,-1.016
1907-06-30,-.923
1907-07-31,-.511
1907-08-31,-.008
1907-09-30,.143
1907-10-31,.024
1907-11-30,-.356
1907-12-31,-.466
1908-01-31,-.447
1908-02-29,-.465
1908-03-31,-.644
1908-04-30,-.988
1908-05-31,-1.306
1908-06-30,-1.32
1908-07-31,-.873
1908-08-31,-.672
1908-09-30,-.885
1908-10-31,-1.004
1908-11-30,-1.064
1908-12-31,-1.282
1909-01-31,-1.029
1909-02-28,-.613
1909-03-31,-.677
1909-04-30,-.914
1909-05-31,-.975
1909-06-30,-1.203
1909-07-31,-1.5
1909-08-31,-1.673
1909-09-30,-1.753
1909-10-31,-1.6
1909-11-30,-1.532
1909-12-31,-1.498
1910-01-31,-1.385
1910-02-28,-1.42
1910-03-31,-1.623
1910-04-30,-1.813
1910-05-31,-1.911
1910-06-30,-1.985
1910-07-31,-2.008
1910-08-31,-1.65
1910-09-30,-1.488
1910-10-31,-1.611
1910-11-30,-1.426
1910-12-31,-1.348
1911-01-31,-1.196
1911-02-28,-.728
1911-03-31,-.55
1911-04-30,-1.047
1911-05-31,-1.55
1911-06-30,-1.556
1911-07-31,-.919
1911-08-31,-.05
1911-09-30,.301
1911-10-31,.502
1911-11-30,.744
1911-12-31,.789
1912-01-31,.913
1912-02-29,1.004
1912-03-31,.798
1912-04-30,.619
1912-05-31,.36
1912-06-30,-.306
1912-07-31,-.58
1912-08-31,-.569
1912-09-30,-.285
1912-10-31,.003
1912-11-30,.003
1912-12-31,-.048
1913-01-31,-.019
1913-02-28,.194
1913-03-31,.17
1913-04-30,-.548
1913-05-31,-.944
1913-06-30,-.376
1913-07-31,.056
1913-08-31,.342
1913-09-30,.681
1913-10-31,.531
1913-11-30,.548
1913-12-31,.78
1914-01-31,.805
1914-02-28,.809
1914-03-31,.796
1914-04-30,.604
1914-05-31,.451
1914-06-30,.354
1914-07-31,.613
1914-08-31,1.219
1914-09-30,1.328
1914-10-31,.974
1914-11-30,1.028
1914-12-31,1.257
1915-01-31,1.308
1915-02-28,1.173
1915-03-31,.885
1915-04-30,1.091
1915-05-31,1.556
1915-06-30,1.552
1915-07-31,.983
1915-08-31,.523
1915-09-30,.21
1915-10-31,-.317
1915-11-30,-.688
1915-12-31,-.589
1916-01-31,-.405
1916-02-29,-.675
1916-03-31,-.993
1916-04-30,-.872
1916-05-31,-.851
1916-06-30,-1.053
1916-07-31,-1.498
1916-08-31,-2.099
1916-09-30,-2.173
1916-10-31,-1.773
1916-11-30,-1.678
1916-12-31,-1.899
1917-01-31,-1.915
1917-02-28,-1.764
1917-03-31,-1.606
1917-04-30,-1.572
1917-05-31,-1.745
1917-06-30,-1.713
1917-07-31,-1.127
1917-08-31,-.967
1917-09-30,-1.093
1917-10-31,-1.116
1917-11-30,-1.127
1917-12-31,-1.202
1918-01-31,-1.328
1918-02-28,-1.138
1918-03-31,-.949
1918-04-30,-.787
1918-05-31,-.574
1918-06-30,-.055
1918-07-31,1.046
1918-08-31,1.479
1918-09-30,1.052
1918-10-31,.969
1918-11-30,1.051
1918-12-31,1.158
1919-01-31,1.527
1919-02-28,1.753
